MeasurementTimeStamp,ServerTimeStamp,CVTimeStamp,Voltage,PC1,PC2,PC3,PC4,PC5,PC6
2016-07-19T11:39:12.000000-0500,2016-07-19T11:40:06.000000-0500,11:39:03 AM ,2.298,195920.40062,7496.45233154,7190.23704529,6975.28839111,7571.144104,7316.54167175
2016-07-19T11:39:28.000000-0500,2016-07-19T11:40:06.000000-0500,11:39:25 AM ,2.398,191999.082565,7497.29156494,7190.65666199,6975.39329529,7571.35391235,7316.64657593
2016-07-19T11:39:44.000000-0500,2016-07-19T11:40:07.000000-0500,11:39:25 AM ,2.398,192008.733749,7497.29156494,7190.55175781,6975.49819946,7571.24900818,7316.64657593
2016-07-19T11:40:00.000000-0500,2016-07-19T11:40:08.000000-0500,11:39:47 AM ,2.498,188390.378952,7497.92098999,7190.76156616,6975.28839111,7571.24900818,7316.54167175
2016-07-19T11:40:16.000000-0500,2016-07-19T11:41:11.000000-0500,11:40:09 AM ,2.598,185024.843216,7498.55041504,7190.86647034,6975.28839111,7571.144104,7316.43676758
2016-07-19T11:40:32.000000-0500,2016-07-19T11:41:11.000000-0500,11:40:31 AM ,2.698,185027.46582,7498.55041504,7190.86647034,6975.18348694,7571.03919983,7316.3318634
2016-07-19T11:40:48.000000-0500,2016-07-19T11:41:12.000000-0500,11:40:31 AM ,2.698,181896.705627,7499.17984009,7191.07627869,6975.39329529,7571.03919983,7316.43676758
2016-07-19T11:41:04.000000-0500,2016-07-19T11:41:12.000000-0500,11:40:54 AM ,2.798,178958.129883,7499.70436096,7191.18118286,6975.28839111,7571.03919983,7316.3318634
2016-07-19T11:41:20.000000-0500,2016-07-19T11:43:06.000000-0500,11:41:16 AM ,2.898,176194.849014,7500.54359436,7191.39099121,6975.39329529,7570.93429565,7316.3318634
2016-07-19T11:41:36.000000-0500,2016-07-19T11:43:07.000000-0500,11:41:16 AM ,2.898,176213.207245,7500.54359436,7191.49589539,6975.28839111,7571.03919983,7316.3318634
2016-07-19T11:41:52.000000-0500,2016-07-19T11:43:08.000000-0500,11:41:38 AM ,2.998,173631.095886,7500.96321106,7191.49589539,6975.39329529,7570.7244873,7316.12205505
2016-07-19T11:42:08.000000-0500,2016-07-19T11:43:09.000000-0500,11:42:00 AM ,3.098,171213.36937,7501.27792358,7191.60079956,6975.28839111,7570.93429565,7316.12205505
2016-07-19T11:42:24.000000-0500,2016-07-19T11:43:09.000000-0500,11:42:22 AM ,3.199,185536.460876,7498.13079834,7190.55175781,6975.07858276,7570.93429565,7316.12205505
2016-07-19T11:42:40.000000-0500,2016-07-19T11:44:07.000000-0500,11:42:22 AM ,3.199,169014.892578,7501.69754028,7191.70570374,6975.18348694,7570.7244873,7316.01715088
2016-07-19T11:42:56.000000-0500,2016-07-19T11:44:08.000000-0500,11:42:45 AM ,3.298,167121.582031,7502.22206116,7191.81060791,6975.28839111,7570.7244873,7316.01715088
2016-07-19T11:43:12.000000-0500,2016-07-19T11:44:09.000000-0500,11:43:07 AM ,3.398,165616.102219,7502.64167786,7192.02041626,6975.28839111,7570.7244873,7316.01715088
2016-07-19T11:43:28.000000-0500,2016-07-19T11:44:09.000000-0500,11:43:07 AM ,3.398,165689.220428,7502.53677368,7191.91551208,6975.28839111,7570.61958313,7316.01715088
